Abkhazia	Sukhumi	Tkvarcheli
Afghanistan	Kabul
Akrotiri and Dhekelia (UK)	Episkopi Cantonment
Åland Islands (Finland)	Mariehamn
Albania	Tirana
Algeria	Algiers
American Samoa (US)	Tafuna
Andorra	Andorra la Vella
Angola	Luanda	Lubango
Anguilla (UK)	North Side
Antigua and Barbuda	St. John's
Argentina	Buenos Aires
Armenia	Yerevan
Artsakh	Stepanakert	Martuni
Dominican Republic	Santo Domingo	Santiago de los Caballeros	[58]
East Timor	Dili	Dare	[59]
Ecuador	Quito	Guayaquil	[60]
Egypt	Cairo	Alexandria	[61]
El Salvador	San Salvador	Santa Ana	[62]
Equatorial Guinea	Bata	Malabo	[63]
Eritrea	Asmara	Keren	[64]
Estonia	Tallinn	Tartu	[65]
Eswatini	Manzini	Mbabane	[66]
Ethiopia	Addis Ababa	Dire Dawa	[67]
Falkland Islands (UK)	Stanley	Mount Pleasant	[68]
Faroe Islands (Denmark)	Tórshavn	Klaksvík	[69]
Fiji	Nasinu	Suva	[70]
Finland	Helsinki	Espoo	[71]
France	Paris	Marseille	[73]
French Guiana (France)	Cayenne	Saint-Laurent-du-Maroni	[75]
French Polynesia (France)	Papeete	Faaa	[76]
Gabon	Libreville	Port-Gentil	[77]
Gambia, The	Serekunda	Brikama	[78]
Georgia	Tbilisi	Batumi	[79]
Germany	Berlin	Hamburg	[80][81]
Ghana	Accra	Kumasi	[82]
Gibraltar (UK)	Gibraltar		[83]
Greece	Athens	Thessaloniki	[84]
Greenland (Denmark)	Nuuk	Sisimiut	[85]
Grenada	St. George's	Gouyave	[86]
Guam (US)	Dededo	Yigo	[87]
Guatemala	Guatemala City	Quetzaltenango	[88]
Guernsey (UK)	Saint Peter Port	Vale	[89]
Guinea	Conakry	Nzérékoré	[90]
Guinea-Bissau	Bissau	Gabú	[91]
Guyana	Georgetown	Linden	[92]
Haiti	Port-au-Prince	Gonaïves	[93]
Honduras	Tegucigalpa	San Pedro Sula	[94]
Hong Kong (China)	Kwun Tong	Sha Tin	[citation needed]
Hungary	Budapest	Debrecen	[95]
Iceland	Reykjavík	Kópavogur	[96]
India	Mumbai	Delhi	[97]
Indonesia	Jakarta	Surabaya	[98]
Iran	Tehran	Mashhad	[100]
Iraq	Baghdad	Basra	[102]
Ireland	Dublin	Cork	[103]
Isle of Man (UK)	Douglas	Ramsey	[104]
Israel	Jerusalem	Tel Aviv	[105]
Italy	Rome	Milan	[107]
Jamaica	Kingston	Spanish Town	[109]
Japan	Tokyo	Yokohama	[110]
Jersey (UK)	Saint Helier	Saint Saviour	[112]
Jordan	Amman	Zarqa	[113]
Kazakhstan	Almaty	Nur-Sultan	[114]/
Kenya	Nairobi	Mombasa	[115]
Kiribati	Betio	Bairiki	[116]
Korea, North	Pyongyang	Hamhung	[117]
Korea, South	Seoul	Busan	[118]
Kosovo	Pristina	Prizren	[119]
Kuwait	Kuwait City	Al Jahra	[120]
Kyrgyzstan	Bishkek	Osh	[121]
Laos	Vientiane	Pakxe	[122]
Latvia	Riga	Daugavpils	[123]
Lebanon	Beirut	Tripoli	[124]
Lesotho	Maseru	Teyateyaneng	[125]
Liberia	Monrovia	Ganta	[126]
Libya	Tripoli	Benghazi	[127]
Liechtenstein	Schaan	Vaduz	[128]
Lithuania	Vilnius	Kaunas	[129]
Luxembourg	Luxembourg City	Esch-sur-Alzette	[130]
Madagascar	Antananarivo	Toamasina	[131]
Malawi	Lilongwe	Blantyre	[132]
Malaysia	Kuala Lumpur	George Town	[133]
Maldives	Malé	Addu City	[134]
Mali	Bamako	Sikasso	[135]
Malta	Valletta		[136]
Marshall Islands	Ebeye	Rita	[137]
Mauritania	Nouakchott	Nouadhibou	[138]
Mauritius	Port Louis	Beau Bassin-Rose Hill	[139]
Mayotte (France)	Mamoudzou	Koungou
Mexico	Mexico City	Ecatepec	[140]
Federated States of Micronesia	Weno	Palikir	[141]
Moldova	Chişinău	Tiraspol	[142]
Monaco	Monaco	La Condamine	[143]
Mongolia	Ulaanbaatar	Erdenet	[144]
Montenegro	Podgorica	Nikšić	[145]
Montserrat (UK)	Brades[Note 1]	Saint Peter's	[146]
Morocco	Casablanca	Fez	[147]
Mozambique	Maputo	Matola	[148]
Myanmar	Yangon	Mandalay	[149]
Namibia	Windhoek	Rundu	[150]
Nauru	Yaren[Note 2]	Denigomudu
Nepal	Kathmandu	Pokhara	[151]
Netherlands	Amsterdam	Rotterdam	[152]
New Caledonia (France)	Nouméa	Dumbéa	[154]
New Zealand	Auckland	Christchurch	[155]
Nicaragua	Managua	León	[156]
Niger	Niamey	Zinder	[157]
Nigeria	Lagos	Kano	[158]
Niue (New Zealand)	Alofi	Hakupu	[159]
Norfolk Island (Australia)	Burnt Pine	Kingston
North Macedonia	Skopje	Bitola	[160]
Northern Cyprus	North Nicosia	Famagusta
Northern Mariana Islands (US)	San Antonio[Note 3]	Garapan[Note 3]	[161]
Norway	Oslo	Bergen	[162]
Oman	Muscat	Seeb	[163]
Pakistan	Karachi	Lahore	[164]
Palau	Koror	Airai	[165]
State of Palestine	Gaza City	Hebron	[166]
Panama	Panama City	San Miguelito District	[168]
Papua New Guinea	Port Moresby	Lae	[169]
Paraguay	Asunción	Ciudad del Este	[170]
Peru	Lima	Arequipa	[171]
Philippines[Note 4]	Quezon City	Manila	[172]
Pitcairn Islands (UK)	Adamstown
Poland	Warsaw	Kraków	[173]
Portugal	Lisbon	Vila Nova de Gaia	[175]
Puerto Rico (US)	San Juan	Bayamón	[176]
Qatar	Doha	Al Rayyan	[178]
Romania	Bucharest	Iași
Russia	Moscow	Saint Petersburg	[180]
Rwanda	Kigali	Butare	[181]
Saint Barthélemy (France)	Gustavia	St. Jean
Saint Helena (UK)	Half Tree Hollow	Jamestown	[182]
Saint Kitts and Nevis	Basseterre	Charlestown	[183]
Saint Lucia	Castries	Gros Islet	[184]
Saint Martin (France)	Marigot	Rambaud
Saint Pierre and Miquelon (France)	Saint-Pierre	Miquelon	[185]
Saint Vincent and the Grenadines	Kingstown	Georgetown	[186]
Samoa	Apia	Vaitele	[187]
San Marino	Dogana	Borgo Maggiore	[188]
São Tomé and Príncipe	São Tomé	Trindade	[189]
Saudi Arabia	Riyadh	Jeddah	[190]
Senegal	Dakar	Touba	[191]
Serbia	Belgrade	Novi Sad	[192]
Seychelles	Victoria	Anse Boileau
Sierra Leone	Freetown	Bo	[193]
Singapore	Singapore		[136]
Sint Maarten (Netherlands)	Lower Prince's Quarter	Cul De Sac	[194]
Slovakia	Bratislava	Košice	[195]
Slovenia	Ljubljana	Maribor	[196]
Solomon Islands	Honiara	Gizo	[197]
Somalia	Mogadishu	Hargeisa
Somaliland	Hargeisa	Burao
South Africa	Cape Town[Note 5]	Durban	[198]
South Georgia and the South Sandwich Islands (UK)	King Edward Point	Bird Island	[200]
South Ossetia	Tskhinvali	Akhalgori
South Sudan	Juba	Yei
Spain	Madrid	Barcelona	[201]
Sri Lanka	Colombo	Dehiwala-Mount Lavinia	[202]
Sudan	Omdurman	Khartoum	[203]
Suriname	Paramaribo	Lelydorp	[205]
Svalbard and Jan Mayen (Norway)	Longyearbyen	Barentsburg	[206]
Sweden	Stockholm	Gothenburg	[207]
Switzerland	Zürich	Geneva	[208]
Syria	Damascus	Aleppo	[209]
Taiwan	New Taipei	Taichung	[211]
Tajikistan	Dushanbe	Khujand	[213]
Tanzania	Dar es Salaam	Mwanza	[214]
Thailand	Bangkok	Nonthaburi	[215]
Togo	Lomé	Sokodé	[217]
Tokelau (New Zealand)	Fakaofo	Atafu	[218]
Tonga	Nukuʻalofa	Neiafu	[219]
Transnistria (Moldova)	Tiraspol	Bender
Trinidad and Tobago	Chaguanas	San Fernando	[220]
Tunisia	Tunis	Sfax	[221]
Turkey	Istanbul	Ankara	[222]
Turkmenistan	Ashgabat	Türkmenabat	[223]
Turks and Caicos Islands (UK)	Five Cays	Honda Road	[224]
Tuvalu	Funafuti[Note 6]	Asau	[225]
Uganda	Kampala	Nansana	[226]
Ukraine	Kyiv	Kharkiv	[227]
United Arab Emirates	Dubai	Abu Dhabi	[229]
United Kingdom	London
United States of America	New York City
Uruguay	Montevideo	Salto	[237]
Uzbekistan	Tashkent	Namangan	[238]
Vanuatu	Port Vila
Vatican City	Vatican City
Venezuela	Caracas
Vietnam	Ho Chi Minh City
Virgin Islands, British (UK)	Road Town
Virgin Islands, United States (US)	Charlotte Amalie
Wallis and Futuna (France)	Mata-Utu
Western Sahara	Laayoune
Yemen	Sana'a
Zambia	Lusaka
Zimbabwe	Harare
